title,singer,album,producer,distributor,year_month,is_popular,external_factors,num_times_top_10,num_times_top_5,num_times_top_1
"77학개론 (Feat. 리쌍, 김진표)",싸이 (Psy),6집 싸이6甲 Part 1,YG Entertainment,지니뮤직,201207-201208,1,0,0,0,0
7월 7일 (One Of These Nights),레드벨벳(Red Velvet),The Velvet - The 2nd Mini Album,SM Entertainment,지니뮤직,201604,0,0,0,0,0
9 to 5 (Feat. Gaeko),크러쉬 (CRUSH),Interlude,아메바컬쳐,카카오 M,201605,0,0,0,0,0
9-TEEN,세븐틴,A-TEEN2 Part.2,PLAYLIST,카카오 M,201905,0,0,0,0,0
"? (물음표) (Feat. 최자, Zion.T)",프라이머리 (Primary),Primary And The Messengers LP,아메바컬쳐,Stone Music Entertainment,201211-201212,1,0,1,1,0
A,GOT7,GOT♡,JYP Entertainment,지니뮤직,201406,0,0,0,0,0
A,레인보우 (Rainbow),A,DSP미디어,Stone Music Entertainment,201008-201009,1,0,0,0,0
"A Bitter Day (Feat. 용준형 of 비스트, G.NA)",현아 (HyunA),A Bitter Day,큐브엔터테인먼트,Universal Music,201107,1,1,0,0,0
A Brand New Day (BTS WORLD OST Part.2),"방탄소년단, Zara Larsson",A Brand New Day (BTS WORLD OST Part.2),"TakeOne Company, 빅히트엔터테인먼트",카카오 M,201906,0,0,0,0,0
A Lovely Night (From `La La Land` Soun...,Ryan Gosling & Emma Stone,La La Land (영화 `라라랜드` OST),Interscope Records,Universal Music,201612,0,0,0,0,0
"A Real Lady (Feat. Beenzino, Gray & Zi...",스윙스 (Swings),A Real Lady,브랜뉴뮤직,NHN벅스,201308,1,0,0,0,0
A Real Man,"스윙스(Swings), 에일리","스윙스, 에일리 Digital Single `A Real Man`",브랜뉴뮤직,카카오 M,201408-201409,1,0,0,0,0
A Step You Can`t Take Back,Keira Knightley,영화 Begin Again OST,Interscope Records,Universal Music,201409,1,0,0,0,0
A Whole New World,"Mena Massoud, Naomi Scott",Aladdin (Original Motion Picture Sound...,"Disney Enterprises,Inc.",Universal Music,201906-201907-201908,1,0,0,0,0
A-Cha,슈퍼주니어 (Super Junior),`Mr. Simple` The 5th Album Repackage,SM Entertainment,지니뮤직,201110,0,0,0,0,0
ABOUT TIME,비투비 (BTOB),Feel`eM,큐브엔터테인먼트,카카오 M,201703,0,0,0,0,0
AEAO,"다이나믹 듀오(Dynamic Duo), DJ Premier",A Giant Step,아메바컬쳐,카카오 M,201408,0,0,0,0,0
AH YEAH (아예),WINNER,WE,YG Entertainment,YG Plus,201905-201906,1,0,0,0,0
AHH OOP! (아훕!),"마마무 (Mamamoo), 에스나 (eSNa)",AHH OOP!,"RBW, Stone Music Entertainment",Stone Music Entertainment,201504,0,0,0,0,0
AIRPLANE,iKON,WELCOME BACK,YG Entertainment,지니뮤직,201510,1,0,0,0,0
ALL FOR YOU,젝스키스,ALL FOR YOU,YG Entertainment,YG PLUS,202001,0,0,0,0,0
ALWAYS,윤미래 (T),태양의 후예 OST Part 1,"오우엔터테인먼트, 뮤직앤뉴",뮤직앤뉴,201603-201604-201605,1,0,2,1,0
ANTI (Feat. G.Soul),지코 (ZICO),TELEVISION,세븐시즌스,Stone Music Entertainment,201708,0,0,0,0,0
Ah-Choo,러블리즈,Lovelyz8,에스엠컬처앤콘텐츠레이블울림,카카오 M,201604-201605,0,0,0,0,0
Airbag (Feat. 나얼),타블로 (에픽하이),Airbag,YG Entertainment,지니뮤직,201110,1,0,1,0,0
Airplane,f(x),2집 Pink Tape,SM Entertainment,지니뮤직,201308,0,0,0,0,0
Airplane pt.2,방탄소년단,LOVE YOURSELF 轉 `Tear`,빅히트 엔터테인먼트,Dreamus,201805-201807-201808-201809,0,0,0,0,0
"All Falls Down (Feat. Noah Cyrus, Digi...",Alan Walker,Different World,MER Musikk,Sony Music,201903-201904-201911-201912-202001-202002,0,0,0,0,0
All For U (With 김종국),마이키 (Mikey),All For U (With 김종국),퀸(QUEEN),Warner Music,201106,0,0,0,0,0
All For You,"정은지, 서인국",응답하라 1997 Love Story Part 1,젤리피쉬엔터테인먼트 & 에이큐브엔터테인먼트,Stone Music Entertainment,201209-201210,1,0,1,1,1
"All I Wanna Do (K) (Feat. Hoody, Loco)",박재범,EVERYTHING YOU WANTED,AOMG,Stone Music Entertainment,201611-201612,1,0,0,0,0
All I Want For Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Ed...,Columbia/Legacy,Sony Music,201912,1,1,0,0,0
All Is Found,Evan Rachel Wood,Frozen 2 (겨울왕국 2 OST),Walt Disney Records,Universal Music,202001,0,0,0,0,0
All Right,김예림 (투개월),A Voice,미스틱스토리,Stone Music Entertainment,201306-201307,1,0,2,1,0
Always Be There,브라운 아이드 소울 (Brown Eyed Soul),Always Be There,인넥스트 트렌드,Stone Music Entertainment,201311,1,0,0,0,0
Am I Wrong,방탄소년단,WINGS,빅히트 엔터테인먼트,카카오 M,201610,0,0,0,0,0
Amanda (Feat. Simon Dominic) (Prod. By...,염따 (YumDDa),Amanda,YUMDDA,"지니뮤직, Stone Music Entertainment",202002,0,0,0,0,0
And I`m here,김경희 (에이프릴세컨드),도깨비 OST Part 11,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,201702,0,0,0,0,0
"And July (Feat. DEAN, DJ Friz)",헤이즈 (Heize),And July,Stone Music Entertainment,Stone Music Entertainment,201701-201702,0,0,0,0,0
And we go,성시경,And we go,에스케이재원,카카오 M,202005,0,0,0,0,0
And... 그리고,백지영,프로듀사 OST,ROY 엔터테인먼트,Sony Music,201506,0,0,0,0,0
Angel,"윤미래, 타이거JK, 비지",Angel,Feel Ghood Music,카카오 M,201412-201501,1,0,1,1,0
Angel (솔라 & 휘인),마마무 (Mamamoo),"Angel, DABDAB","RBW, Stone Music Entertainment",Stone Music Entertainment,201609,0,0,0,0,0
Animals,Maroon 5,V (Deluxe Edition),Interscope Records,Universal Music,201409,1,0,0,0,0
Another Day,"먼데이 키즈 (Monday Kiz), 펀치 (Punch)",호텔 델루나 OST Part.1,냠냠엔터테인먼트,카카오 M,201908-201909,1,0,0,0,0
Another Day Of Sun (From `La La Land` ...,La La Land Cast,La La Land (영화 `라라랜드` OST),Interscope Records,Universal Music,201612-201701,0,0,0,0,0
Anpanman,방탄소년단,LOVE YOURSELF 轉 `Tear`,빅히트 엔터테인먼트,Dreamus,201810-201903,0,0,0,0,0
Answer _ Love Myself,방탄소년단,LOVE YOURSELF 結 `Answer`,빅히트 엔터테인먼트,Dreamus,201808,0,0,0,0,0
Apple (Feat. 박재범),가인,Hawwah,"에이팝, 미스틱스토리",카카오 M,201503,1,0,1,0,0
Apple Is A,티아라 (T-ara),Absolute First Album,코어컨텐츠미디어,Stone Music Entertainment,201001,0,0,0,0,0
Artist,지코 (ZICO),TELEVISION,세븐시즌스,Stone Music Entertainment,201707-201708,1,0,1,0,0
AsuRa BalBalTa,리쌍,AsuRa BalBalTa,정글엔터테인먼트,카카오 M,201108,0,0,0,0,0
Attention,Charlie Puth,Voicenotes,Artist Partners,Warner Music,201912-202002-202003-202004-202005-202006,0,0,0,0,0
Awake,방탄소년단,WINGS,빅히트 엔터테인먼트,카카오 M,201610,0,0,0,0,0
Awoo,김예림 (투개월),Simple Mind,"미스틱89, 미스틱엔터테인먼트",카카오 M,201504,0,0,0,0,0
B.B.B (Big Baby Baby),Dal★Shabet (달샤벳),THE 7TH MINI ALBUM `B.B.B`,해피페이스 엔터테인먼트,카카오 M,201401,1,0,0,0,0
BAAM,모모랜드 (MOMOLAND),Fun to The World,"엠엘디엔터테인먼트, 카카오 M",카카오 M,201807-201808,1,0,0,0,0
BABY BABY,WINNER,EXIT _ E,YG Entertainment,지니뮤직,201602,1,0,0,0,0
BABY GOOD NIGHT,"GD, TOP  (빅뱅)",GD & TOP 정규앨범 1집,YG Entertainment,Stone Music Entertainment,201101,0,0,0,0,0
BACK SEAT,JYJ,JUST US,씨제스엔터테인먼트,오감엔터테인먼트,201407,0,0,0,0,0
BAD BOY,빅뱅,빅뱅 미니앨범 5집 ALIVE,YG Entertainment,지니뮤직,201203,1,0,1,1,0
BAE BAE,빅뱅,M,YG Entertainment,지니뮤직,201505-201506-201507,1,0,1,1,0
BAND,"창모, Hash Swan, ASH ISLAND, 김효은",BAND,앰비션뮤직,"지니뮤직, Stone Music Entertainment",201907-201908-201909-201910-201911-202001-202002,1,0,0,0,0
BE I,B.I (비아이),쇼미더머니3 Part 1,Stone Music Entertainment,Stone Music Entertainment,201408,1,0,0,0,0
BEAUTIFUL,EXO,The 2nd Album `EXODUS`,SM Entertainment,지니뮤직,201504,0,0,0,0,0
"BERMUDA TRIANGLE (Feat. Crush, DEAN)",지코 (ZICO),BERMUDA TRIANGLE,세븐시즌스,Stone Music Entertainment,201612,1,0,0,0,0
BIRTHDAY,전소미,BIRTHDAY,The Black Label,YG Plus,201906-201907,1,0,0,0,0
BLUE MOON (Prod. GroovyRoom),"효린, 창모",BLUE MOON,스타쉽엔터테인먼트,카카오 M,201704-201705-201706,1,0,1,0,0
BOOMERANG (부메랑),Wanna One (워너원),0+1=1 (I PROMISE YOU),"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,201803-201804,1,0,0,0,0
"BORN HATER (Feat. 빈지노, 버벌진트, B.I, MINO...",에픽하이 (Epik High),신발장,YG Entertainment,지니뮤직,201410-201411,1,0,1,0,0
BREATHE,AB6IX (에이비식스),B_COMPLETE,브랜뉴뮤직,Warner Music,201905,0,0,0,0,0
BTD (Before The Dawn),인피니트 (Infinite),Evolution,울림 엔터테인먼트,Stone Music Entertainment,201102,0,0,0,0,0
BUBIBU (Remix Ver.),에이핑크 (Apink),BUBIBU,플레이엠엔터테인먼트,Stone Music Entertainment,201208,0,0,0,0,0
BUNGEE (Fall in Love),오마이걸 (OH MY GIRL),OH MY GIRL SUMMER PACKAGE (FALL IN LOV...,WM엔터테인먼트,카카오 M,201911-202005-202006-202007-202008,0,0,0,0,0
Baaam (Feat. Muzie),다이나믹 듀오 (Dynamic Duo),7집 Lucky Numbers,아메바컬쳐,카카오 M,201307,1,0,1,1,1
Babay (Feat. Gaeko),자이언티(Zion.T),1집 Red Light,아메바컬쳐,카카오 M,201304,1,0,0,0,0
Baby (Feat. Ludacris),Justin Bieber,Baby (Single),Universal Music,Universal Music,201302,0,0,0,0,0
Baby (Feat. Ludacris),Justin Bieber,My Worlds - The Collection,Universal Music,Universal Music,201004,0,0,0,0,0
Baby I Love You,숙희,Baby I Love You,넥스타엔터테인먼트,카카오 M,201208,0,0,0,0,0
Baby I Miss You,2NE1 (투애니 원),2NE1 NEW ALBUM `CRUSH`,YG Entertainment,지니뮤직,201402,0,0,0,0,0
Baby I`m Sorry,마이네임 (Myname),Myname 1st Mini Album,H-ENTERCOM,카카오 M,201307,0,0,0,0,0
Baby I`m Sorry,비원에이포 (B1A4),THE B1A4Ⅰ(IGNITION),WM엔터테인먼트,포니캐년코리아,201204,0,0,0,0,0
Baby It`s Cold Outside,"성시경, 에일리",Winter Wonderland,젤리피쉬 엔터테인먼트,Stone Music Entertainment,201412,0,0,0,0,0
Baby You Are,EXO,OBSESSION - The 6th Album,SM Entertainment,Dreamus,202001,0,0,0,0,0
"Baby, Don`t Cry (인어의 눈물)",EXO,The 1st Album XOXO (Kiss & Hug),SM Entertainment,지니뮤직,201306,0,0,0,0,0
Back,인피니트 (Infinite),Be Back,에스엠컬처앤콘텐츠레이블울림,카카오 M,201407-201408,1,0,0,0,0
Back It Up,쥬얼리 (Jewelry),Back It Up,스타제국,Stone Music Entertainment,201102,1,1,0,0,0
Bad,Christopher,Bad,Parlophone Denmark,Warner Music,202001-202002-202003-202004-202005-202006-202007,0,0,0,0,0
Bad,인피니트 (Infinite),Reality,에스엠컬처앤콘텐츠레이블울림,카카오 M,201507,1,0,0,0,0
Bad (Feat. Vassy) (Radio Edit),David Guetta & Showtek,Bad (Radio Edit),Parlophone France,Warner Music,201404-201405,0,0,0,0,0
Bad Boy,레드벨벳(Red Velvet),The Perfect Red Velvet - The 2nd Album...,SM Entertainment,Dreamus,201802-201803-201804,1,1,2,1,0
Bad Girl Good Girl,miss A,Bad But Good,JYP Entertainment,카카오 M,201007-201008,1,1,2,2,1
Bad Girls,이효리,5집 Monochrome,"B2M 엔터테인먼트, Stone Music Entertainment",Stone Music Entertainment,201305-201306,1,0,0,0,0
Ballerino,"리쌍, 알리 (ALi)",4집 Black Sun,제이엔터컴,위지스,201201,0,0,0,0,0
"Banana (Feat. Swings, JC지은)",지나(G.NA),Top Girl,큐브엔터테인먼트,Universal Music,201108,0,0,0,0,0
Bandz Up (Prod. by Dok2 / Feat. Dok2),트루디,언프리티 랩스타 2 Track 6 & 7,Stone Music Entertainment,Stone Music Entertainment,201510,0,0,0,0,0
Be Kind,"Marshmello, Halsey",Be Kind,Astralwerks,Universal Music,202007,0,0,0,0,0
Be My Baby,원더걸스 (Wonder girls),Wonder World,JYP Entertainment,카카오 M,201111-201112,1,0,2,1,1
Be OK (Feat. 배치기),유성은,Be OK,뮤직웍스,Stone Music Entertainment,201307-201308,1,0,0,0,0
Beautiful,Wanna One (워너원),1-1=0 (NOTHING WITHOUT YOU),"YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT",Stone Music Entertainment,201711-201712-201801,1,0,2,2,0
Beautiful,비스트 (Beast),Lights Go On Again,큐브엔터테인먼트,Universal Music,201011-201012,1,0,1,0,0
Beautiful,크러쉬 (CRUSH),도깨비 OST Part 4,"Stone Music Entertainment, 화앤담픽쳐스",Stone Music Entertainment,201612-201701-201702-201703,1,0,3,2,0
Beautiful Girl (Feat. 권정열 of 10cm),"스컬, 하하",Beautiful Girl,QUAN Entertainment,지니뮤직,201503,0,0,0,0,0
Beautiful Lady (Original Ver.),정엽,Beautiful Lady (Digital Single),인넥스트 트렌드,카카오 M,201203,0,0,0,0,0
Beautiful Monster,Ne-Yo,Libra Scale,Universal Music,Universal Music,201006-201007,0,0,0,0,0
Beautiful Stranger (by f(Amber＋Luna＋Kr...,f(x),Electric Shock,SM Entertainment,지니뮤직,201206,0,0,0,0,0
Beautiful Tomorrow,박효신,I am A Dreamer,글러브엔터테인먼트,카카오 M,201611,0,0,0,0,0
Beauty and the Beast (영화 미녀와 야수 삽입곡 (B...,"Ariana Grande, John Legend",영화 미녀와 야수 OST Deluxe Edition (Beauty a...,"Disney Enterprises,Inc.",Universal Music,201703-201704,0,0,0,0,0
Because I Love You,바이브 (Vibe),MEMORIES,뮤직앤뉴,Stone Music Entertainment,201410,0,0,0,0,0
Because Of You,Kelly Clarkson,Because Of You (Remixes),Sony Music,Sony Music,201011,0,0,0,0,0
Because Of You,거미,Loveless (EP),YG Entertainment,Stone Music Entertainment,201007,0,0,0,0,0
Because Of You,김보경,Because Of You,Sony Music,Sony Music,201012,0,0,0,0,0
Because Of You,백지영,"하이드 지킬, 나 OST Part 2",㈜메이스 엔터테인먼트,Stone Music Entertainment,201502,1,1,0,0,0
Because of You,윤미래 (T),Because of You,SM Entertainment,지니뮤직,201602-201603,0,0,0,0,0
Begin,방탄소년단,WINGS,빅히트 엔터테인먼트,카카오 M,201610,0,0,0,0,0
Best Mistake (Feat. Big Sean),Ariana Grande,My Everything,"Republic Records, a division of UMG Recordings,Inc",Universal Music,201508-201509,0,0,0,0,0
Best Of Me,방탄소년단,LOVE YOURSELF 承 `Her`,빅히트 엔터테인먼트,카카오 M,201711,0,0,0,0,0
Betcha,백현 (BAEKHYUN),City Lights - The 1st Mini Album,SM Entertainment,Dreamus,201907,0,0,0,0,0
Better Together,세븐,Digital Bounce (EP),YG Entertainment,Stone Music Entertainment,201008,1,0,0,0,0
Big Boy (Feat. Bee Of Rphabet),산이 (San E),Big Boy,프로덕션 코스믹사운드,오감엔터테인먼트,201305,0,0,0,0,0
Birthday,Anne-Marie,Birthday,Major Tom`s / Asylum,Warner Music,202003-202004,1,0,0,0,0
Black & White,지나(G.NA),Black & White,큐브엔터테인먼트,Universal Music,201102-201103,1,0,1,1,0
Black (Feat. Jennie Kim),G-Dragon,쿠데타 (COUP D`ETAT),YG Entertainment,지니뮤직,201309,1,0,1,1,0
Black Swan,방탄소년단,MAP OF THE SOUL _ 7,빅히트 엔터테인먼트,Dreamus,202001-202002-202003-202004-202005,1,0,0,0,0
Blah Blah Blah (Feat. 3OH!3),Ke$ha,Animal,Sony Music,Sony Music,201001-201002-201004,0,0,0,0,0
Blinding Lights,The Weeknd,Blinding Lights,Republic Records,Universal Music,202007-202008,0,0,0,0,0
Blowin′ My Mind,브라운 아이드 소울 (Brown Eyed Soul),3집 Browneyed Soul,인넥스트 트렌드,Stone Music Entertainment,201004,0,0,0,0,0
Blue,볼빨간사춘기,Red Diary Page.1,쇼파르뮤직,카카오 M,201710-201711,1,0,1,0,0
Blue,빅뱅,빅뱅 미니앨범 5집 Alive,YG Entertainment,지니뮤직,201202-201203,1,0,2,2,1
Blue,태연 (TAEYEON),사계 (Four Seasons),SM Entertainment,Dreamus,201905,0,0,0,0,0
"Blue (Feat. Crush, SOLE)",다이나믹 듀오 (Dynamic Duo),Blue,아메바컬쳐,"지니뮤직, Stone Music Entertainment",201908,0,0,0,0,0
Blueming,아이유 (IU),Love poem,카카오 M,카카오 M,201911-201912-202001-202002-202003-202004-202005-202006-202007-202008,1,0,5,3,1
Bo Peep Bo Peep,티아라 (T-ara),Absolute First Album,코어컨텐츠미디어,Stone Music Entertainment,201001,1,0,0,0,0
Body Language (Feat. 범키),산이 (San E),Body Language,브랜뉴뮤직,카카오 M,201408,1,0,1,1,0
Bohemian Rhapsody,Queen,영화 보헤미안 랩소디 OST (Bohemian Rhapsody OST...,"Virgin EMI Records, a division of Universal",Universal Music,201811-201902,0,0,0,0,0
Bohemian Rhapsody (2011 Remaster),Queen,Greatest Hits (2011 Remaster),Universal Music,Universal Music,201811,0,0,0,0,0
Boogie On & On,빈지노 (Beenzino),2 4 _ 2 6,ILLIONAIRE RECORDS,제뉴인뮤직,201307-201308,0,0,0,0,0
Boogie Up,우주소녀,SPECIAL ALBUM (For the Summer),스타쉽엔터테인먼트,카카오 M,201906,0,0,0,0,0
Boom Boom Pow,Black Eyed Peas,6집 The Beginning & The Best Of The E.N...,Universal Music,Universal Music,201002,0,0,0,0,0
Born This Way,Lady GaGa,Born This Way,2011 Interscope Records,Universal Music,201103,0,0,0,0,0
Bounce,JJ Project,Bounce,JYP Entertainment,지니뮤직,201205,0,0,0,0,0
Bounce,조용필,19집 Hello,필레코드,Universal Music,201304,0,0,0,0,0
Bounce,조용필,Bounce,필레코드,Universal Music,201304-201305,1,0,1,0,0
Boys And Girls (Feat. Babylon),지코 (ZICO),Boys And Girls,세븐시즌스,Stone Music Entertainment,201511-201512-201601,1,0,1,1,1
Break,빈지노 (Beenzino),Break,ILLIONAIRE RECORDS,Stone Music Entertainment,201510,1,0,0,0,0
Break Away (Feat. Room9),MC 스나이퍼,Break Away,Go M!,에스케이커뮤니케이션즈,201102,0,0,0,0,0
Break Down (Feat. Double K),김현중,Break Down,"키이스트, Stone Music Entertainment",Stone Music Entertainment,201106,1,0,0,0,0
Break My Heart,Dua Lipa,Future Nostalgia,Warner Records,Warner Music,202004,0,0,0,0,0
Breathe,miss A,Step Up,JYP Entertainment,카카오 M,201010-201011,1,0,1,1,0
Bring It Back (Feat. 베카 Of 애프터스쿨 & 전지윤...,이효리,H-Logic,Stone Music Entertainment,Stone Music Entertainment,201004,1,0,0,0,0
Broken,서인국,Broken,젤리피쉬 엔터테인먼트,Universal Music,201104,1,0,0,0,0
Brown City,투개월,슈퍼스타K3 TOP 11 Part 3,Stone Music Entertainment,Stone Music Entertainment,201110,1,0,0,0,0
Bubble Love,MC 몽 & 서인영,조영수 All Star 2.5,넥스타엔터테인먼트,지니뮤직,201003-201004,1,0,1,1,0
Bubble Pop!,현아 (HyunA),Bubble Pop!,큐브엔터테인먼트,Universal Music,201107,1,0,1,0,0
Buen Camino,"신혜성, 린(LYn)",SHIN HYE SUNG - Once Again #1,라이브웍스컴퍼니,Stone Music Entertainment,201407,0,0,0,0,0
Bunzi (번지),"기리보이, 서출구, 양홍원 (Young B)",고등래퍼 지역대항전 Part 2,Stone Music Entertainment,Stone Music Entertainment,201703-201704,0,0,0,0,0
Burn Out,블락비 (Block B),유령 OST Part 1,HB 엔터테인먼트,카카오 M,201206,0,0,0,0,0
But (Feat. 백지영),길 (리쌍),R.O.A.D PROJECT #1,리쌍컴퍼니,Stone Music Entertainment,201511,0,0,0,0,0
Butterfly,방탄소년단,화양연화 pt.2,빅히트 엔터테인먼트,카카오 M,201512,0,0,0,0,0
Bye Bye Bye,화요비,Hwayobi,글로웍스,카카오 M,201006,1,0,1,0,0
Bye U (Feat. 지오),아웃사이더,Rebirth Outsider,아싸 커뮤니케이션,Sony Music,201307,0,0,0,0,0
Bye bye my blue,백예린,Bye bye my blue,JYP Entertainment,지니뮤직,201606-201607,1,0,0,0,0
B급인생,"진운(2AM), Jr, 김지수, 강소라",드림하이 2 OST Part 6,홀림,카카오 M,201202,0,0,0,0,0
CALL ME BABY,EXO,The 2nd Album `EXODUS`,SM Entertainment,지니뮤직,201503-201504-201505,1,0,1,1,0
CALL ME BABY (叫我),EXO,The 2nd Album `EXODUS`,SM Entertainment,지니뮤직,201504,0,0,0,0,0
CALLING YOU,하이라이트(Highlight),CALLING YOU,어라운드 어스,카카오 M,201706,1,1,0,0,0
CHEER UP,TWICE,PAGE TWO,JYP Entertainment,지니뮤직,201604-201605-201606-201607-201608-201609,1,0,4,2,1
CUPID,카라 (Kara),카라(Kara) 7th Mini Album - In Love,DSP미디어,카카오 M,201505,0,0,0,0,0
Cafe,빅뱅,빅뱅 미니앨범 4집,YG Entertainment,지니뮤직,201102-201103,1,0,1,0,0
Call Me Maybe,Carly Rae Jepsen,Call Me Maybe,Interscope Records,Universal Music,201209-201211-201212-201305,0,0,0,0,0
Call You Mine (Feat. Geologic),Jeff Bernat,1집 The Gentleman Approach,Go M!,에스케이커뮤니케이션즈,201404-201405,0,0,0,0,0
Can`t Nobody,2NE1 (투애니 원),1집 To Anyone,YG Entertainment,지니뮤직,201009-201010,1,0,1,1,0
Can`t U See,손담비,the queen (THE 3RD MINI ALBUM SONDAMBI...,플레디스,NHN벅스,201007,1,0,0,0,0
Candy,백현 (BAEKHYUN),Delight - The 2nd Mini Album,SM Entertainment,Dreamus,202006,1,0,0,0,0
Can’t Bring Me Down,EXO,LOTTO - The 3rd Album Repackage,SM Entertainment,지니뮤직,201608,0,0,0,0,0
